RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName
65772,936,19104,zip,PA,PA,Philadelphia,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Philadelphia County
66622,937,20774,zip,MD,MD,Upper Marlboro,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Prince Georges County
94802,938,85207,zip,AZ,AZ,Mesa,"Phoenix-Mesa-Chandler, AZ",Maricopa County
96634,939,92084,zip,CA,CA,Vista,"San Diego-Chula Vista-Carlsbad, CA",San Diego County
94375,940,84003,zip,UT,UT,American Fork,"Provo-Orem, UT",Utah County
100194,941,99336,zip,WA,WA,Kennewick,"Kennewick-Richland, WA",Benton County
99388,942,97702,zip,OR,OR,Bend,"Bend, OR",Deschutes County
94738,943,85022,zip,AZ,AZ,Phoenix,"Phoenix-Mesa-Chandler, AZ",Maricopa County
97072,945,92879,zip,CA,CA,Corona,"Riverside-San Bernardino-Ontario, CA",Riverside County
72834,946,33810,zip,FL,FL,Lakeland,"Lakeland-Winter Haven, FL",Polk County
61625,947,10011,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",New York County
96507,948,91767,zip,CA,CA,Pomona,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County
84618,949,60616,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County
93460,950,80538,zip,CO,CO,Loveland,"Fort Collins, CO",Larimer County
66212,951,20110,zip,VA,VA,Manassas,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Manassas City
84486,952,60435,zip,IL,IL,Joliet,"Chicago-Naperville-Elgin, IL-IN-WI",Will County
91261,953,76116,zip,TX,TX,Fort Worth,"Dallas-Fort Worth-Arlington, TX",Tarrant County
66261,954,20171,zip,VA,VA,Herndon,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Fairfax County
72359,955,33021,zip,FL,FL,Hollywood,"Miami-Fort Lauderdale-Pompano Beach, FL",Broward County
79607,956,49201,zip,MI,MI,Jackson,"Jackson, MI",Jackson County
95818,957,89122,zip,NV,NV,Las Vegas,"Las Vegas-Henderson-Paradise, NV",Clark County
70892,958,30115,zip,GA,GA,Canton,"Atlanta-Sandy Springs-Alpharetta, GA",Cherokee County
